wavelength,sky 1,sky 2,sky 3,sky 4,sky 5,sky 6,sky 7,sky 8,sky 9,sky 10,sky 11,sky 12,sky 13,sky 14,sky 15,average,error
340.0,0.04341870406698021,0.03207191295964393,0.03962820783118132,0.045039827614814024,0.0498751775326847,0.045828869610618196,0.04300486671373272,0.024227704772026487,0.034175102466927225,0.04465409341467958,0.04406870242418247,0.026269737788729028,0.05727047521779059,0.05961850077247848,0.04108308497962259,0.0420156645444061,0.0025573595288182157
340.5,0.042330965084600033,0.027383145975606173,0.04886445020660749,0.05022609031533461,0.04149235516665366,0.04809126128735968,0.03797580714963679,0.02102269310073475,0.026287677496799763,0.04320922203391267,0.04367585952934365,0.03131115126697039,0.049817195612251286,0.08676973018852585,0.049408513855297126,0.04319107455130892,0.003956066272538762
341.0,0.0436685559446035,0.03820891684489471,0.03297582458784371,0.05299651314033095,0.04049844799064998,0.03713578397430506,0.04184215064297841,0.027596476163749193,0.04445466956142293,0.057462399206037525,0.07320937484448968,0.0543996464643909,0.054759519835465294,0.09908455358084066,0.04885219661914016,0.04980966862674285,0.0045666205848759476
341.5,0.040137820825462286,0.050512262747833374,0.0373726011995562,0.03641333100122835,0.04016823540914875,0.04294053085706113,0.031490226916262604,0.039885629431442825,0.05056661138453523,0.05320608720638203,0.08836484020853479,0.05310963069519946,0.05455657415480191,0.08268668656891552,0.04791400060223137,0.04995500461390638,0.004151086684932102
342.0,0.040670333413124045,0.040718660719740854,0.03505676475133229,0.0460295426605933,0.051333343981690094,0.048136172288386805,0.03131519438948238,0.04023186426892544,0.034019787239422256,0.05129883948608419,0.08523036742655767,0.030436010939599162,0.03597749398913053,0.05852194079047917,0.05873389939019959,0.04584734771564985,0.003670922304675575
342.5,0.036195713422961524,0.04661562533959722,0.026922125721498193,0.060259618830616736,0.05252995591069452,0.04385559250298883,0.037816402527033374,0.032100024437239236,0.032598940528543445,0.0520031213277538,0.06503410744347544,0.041893660257507216,0.015238833021576508,0.04113262185012886,0.06715409077813476,0.04342336225998331,0.0037057612576908206
343.0,0.0468182038564607,0.05923635649344629,0.04699130291038477,0.07687825926466656,0.06995602580575906,0.05849096496270361,0.06987861073616705,0.06186062429689326,0.04969224417784058,0.06630747922998757,0.07729080576244671,0.057083197786721246,0.04317967805643731,0.07467219748388833,0.07201950931808386,0.062023697342792464,0.002980605578522995
343.5,0.0500713257782427,0.0579108063278793,0.06238303254220845,0.07557682294462607,0.07341181490127185,0.06884575763702042,0.07216341032681597,0.07294637756187707,0.04688506525108405,0.09187597217755832,0.08605326991153582,0.06663488862095046,0.05846825266641171,0.08638568153123576,0.055749587436916846,0.06835747104104233,0.003453584306842001
344.0,0.04299218924558288,0.04545276845390867,0.07173070007834241,0.06791627262965727,0.05723139840771194,0.055108605197848166,0.04196717387639286,0.04494814421733723,0.04008570973586642,0.10110162686129257,0.06912380873816593,0.04388442533341993,0.06094737343216237,0.0783964588052408,0.03500791217867451,0.057059637812773595,0.0046535293248688055
344.5,0.031196152114156148,0.03772617121115703,0.04766888834712129,0.04462679692641794,0.02444619321189053,0.039760270596827754,0.02468364953109684,0.016360687802522936,0.024874021305712847,0.0548552440654469,0.03166065621098908,0.01940358904190607,0.028750638093978396,0.027652008652066407,0.008002010550247692,0.03077779851076919,0.0032135656258162498
345.0,0.028377116282790365,0.03242397054888908,0.03668598129032987,0.043524082918718975,0.033658797292624644,0.022193613238823715,0.028074279621296508,0.017255595684268533,0.009403186542259315,0.032673865589955546,0.01718956452163687,0.020433212739168125,0.025992964433199567,0.015700515502635244,0.017241591223302207,0.025388555828659908,0.0024180901006528384
345.5,0.05316545105062805,0.059849790171676485,0.06231376825311982,0.05789053714623167,0.061805333076228874,0.044026815694404746,0.05675117122765063,0.05173247549233435,0.033573975012324654,0.06914647870355017,0.052198482753162745,0.04470462054469597,0.05345430055590475,0.06885588163466619,0.06450922662996476,0.05559855386310291,0.0025087142135498787
346.0,0.0960062149158332,0.09862146573877367,0.10980497864127466,0.09729210621284638,0.0993482149908679,0.09012515131118569,0.10625412049809897,0.09832133614675133,0.08779049424322671,0.12362989695196654,0.0869464705987483,0.10277523780906991,0.09141310149409988,0.11961094365863413,0.10194749080218943,0.10065914826757112,0.002762271764566522
346.5,0.10801424757978877,0.1072575450870753,0.1260369142146516,0.12526129754593188,0.11273326755191748,0.11708017274015406,0.12383238711616953,0.11928569959468496,0.11623619053997054,0.14578634122560996,0.10469469906872965,0.12075184644456174,0.09643103293167868,0.13095553886411082,0.10502137925959912,0.11729190398430894,0.0032000548623238455
347.0,0.1101367266614169,0.10810835092775109,0.13280674560035688,0.13231399137609132,0.11361928348842075,0.12512766273670226,0.13565333383550504,0.13251436577273681,0.12762597389033511,0.13336298451541306,0.12136777856336263,0.11963303647189882,0.11211754024883616,0.12423468736153444,0.11430433381886249,0.1228617863512816,0.0024410913180851375
347.5,0.11689786989528343,0.11723784432158571,0.1369445340006945,0.14100322189612208,0.12779880790397327,0.13347830199018354,0.13231208792250407,0.13774843836098746,0.12714277096031965,0.14223868548900093,0.1315610178873384,0.12369817875691258,0.1286954168300838,0.13140528005488478,0.1332568362709898,0.13076128616939092,0.001941836446457035
348.0,0.1278383536275759,0.12587392366988734,0.1417237699478094,0.14963400467722882,0.14019322272051918,0.1431341672110157,0.13451874799226898,0.14076473644968732,0.13324033174384817,0.15385277424448426,0.1407287304963665,0.13130290134689915,0.1428419245704427,0.13217843064127135,0.15095998221818838,0.13925240010383286,0.0021585715508522277
